token	label	f_x	f_y	f_xy	pmi	pmi_freq
sicher	5	5793	144	87	1.3506596927215333	6.712526504088711
Herkunftsstaat	5	5793	75	50	1.449099765534786	6.256471013024692
Juncker	5	5793	34	29	1.6955001790132629	5.978944900752006
Quote	5	5793	28	26	1.7804569014892282	5.9328465173149745
Türkei	5	5793	76	46	1.352472929845714	5.85719960911757
EU	5	5793	139	68	1.139598645688365	5.623319811380276
Kosovo	5	5793	39	28	1.5232077376885076	5.5803654468835235
Verteilung	5	5793	37	27	1.5394838270030546	5.558949727151412
Herkunftsland	5	5793	45	29	1.4151982138591046	5.387181956287408
Albanien	5	5793	26	21	1.6409907733448912	5.346506357560185
Montenegro	5	5793	20	18	1.7492043579851237	5.240147948257324
europäisch	5	5793	93	46	1.1506067769787893	5.215239694152762
verteilen	5	5793	29	21	1.5317914813798992	5.157995067659338
EU-Kommission	5	5793	35	23	1.434711028082686	5.100897072491262
Jean-Claude	5	5793	20	17	1.6920459441451752	5.068916643211835
EU-Staat	5	5793	46	25	1.2447993020220558	4.765890138042375
Europa	5	5793	104	44	0.9943636084198386	4.618213293382474
Frankreich	5	5793	14	12	1.7004141938156918	4.487490541571122
gerecht	5	5793	19	13	1.4750752519380463	4.343269069010141
Staat	5	5793	58	26	1.052218401118013	4.272472852387964
Umverteilung	5	5793	10	10	1.85456487364295	4.270293432040643
verpflichtend	5	5793	11	10	1.7592546938386253	4.218508514003984
Liste	5	5793	18	12	1.449099765534786	4.188437036675699
verbindlich	5	5793	15	11	1.5444099453391107	4.182339663059832
gemeinsam	5	5793	67	28	0.982076764427188	4.129330923062358
Mitgliedstaat	5	5793	16	11	1.4798714242015396	4.103074821106111
Brüssel	5	5793	28	15	1.2304105645699563	4.099979632627227
EU-Land	5	5793	23	13	1.2840200151753371	4.026037330719529
erklären	5	5793	79	31	0.9191042256610749	4.015977985008148
Lösung	5	5793	36	17	1.1042592792430561	3.9571340401333854
Balkanstaat	5	5793	24	13	1.2414604007565413	3.9454279818496216
Griechenland	5	5793	22	12	1.2484290700726346	3.8589472556011577
Faymann	5	5793	16	10	1.3845612443972146	3.8388188914659946
Dublin-Verfahren	5	5793	13	9	1.4868400935176327	3.813669542516103
Hollande	5	5793	13	9	1.4868400935176327	3.813669542516103
syrisch	5	5793	29	14	1.1263263732717348	3.7926740999217015
Tusk	5	5793	17	10	1.3239366225807798	3.750994905780584
Slowakei	5	5793	11	8	1.5361111425244154	3.6834336471522
Flüchtlingskrise	5	5793	18	10	1.266778208740831	3.6614599580627902
Fluchtursache	5	5793	15	9	1.3437392498769594	3.638913345858233
Ausweitung	5	5793	15	9	1.3437392498769594	3.638913345858233
Libyen	5	5793	19	10	1.2127109874705553	3.5707535019717276
einstufen	5	5793	9	7	1.6032504453620442	3.5227012821747232
Einstufung	5	5793	9	7	1.6032504453620442	3.5227012821747232
Großbritannien	5	5793	13	8	1.3690570578612493	3.5115620208893934
weit	5	5793	95	32	0.766423884842136	3.490200018353317
Widerstand	5	5793	20	10	1.161417693083005	3.4792964662453816
Premier	5	5793	10	7	1.4978899297042179	3.4490190230828315
Problem	5	5793	27	12	1.0436346574266213	3.439649578586457
Präsident	5	5793	24	11	1.074406316093375	3.414521108210576
Kommission	5	5793	11	7	1.4025797498998929	3.363239352007674
Außenminister	5	5793	11	7	1.4025797498998929	3.363239352007674
Donald	5	5793	11	7	1.4025797498998929	3.363239352007674
Kommissionschef	5	5793	11	7	1.4025797498998929	3.363239352007674
Bundesrat	5	5793	18	9	1.161417693083005	3.356928899208033
Dublin-System	5	5793	6	6	1.85456487364295	3.322934173647487
Kommissionspräsident	5	5793	6	6	1.85456487364295	3.322934173647487
militärisch	5	5793	15	8	1.225956214220576	3.319950972462535
britisch	5	5793	7	6	1.7004141938156918	3.308853237343663
Ebene	5	5793	7	6	1.7004141938156918	3.308853237343663
Steinmeier	5	5793	12	7	1.3155683729102632	3.269064598095493
Flüchtlingsquot	5	5793	8	6	1.5668828011911693	3.258241187740585
Dublin-Regel	5	5793	8	6	1.5668828011911693	3.258241187740585
lösen	5	5793	16	8	1.161417693083005	3.220133597651683
Italien	5	5793	13	7	1.2355256652367268	3.1690607611761803
Gegenzug	5	5793	17	8	1.1007930712665701	3.1187816185570716
Flüchtlingskris	5	5793	17	8	1.1007930712665701	3.1187816185570716
Union	5	5793	86	27	0.6960544433937715	3.100468227976286
westlich	5	5793	10	6	1.3437392498769594	3.094073965637688
Zusammenarbeit	5	5793	18	8	1.0436346574266213	3.016492139387545
François	5	5793	6	5	1.6722433168489954	2.996257797817518
Cameron	5	5793	6	5	1.6722433168489954	2.996257797817518
David	5	5793	6	5	1.6722433168489954	2.996257797817518
vereinbaren	5	5793	11	6	1.2484290700726346	2.9936021655512364
Drittstaat	5	5793	11	6	1.2484290700726346	2.9936021655512364
osteuropäisch	5	5793	5	5	1.85456487364295	2.9848070187095206
Solidarität	5	5793	29	11	0.8851643164548466	2.9806101116512327
Regierungschef	5	5793	15	7	1.0924248215960533	2.958341257812238
EU-Ratspräsident	5	5793	7	5	1.5180926370217371	2.954071869586742
Tschechien	5	5793	7	5	1.5180926370217371	2.954071869586742
Werner	5	5793	12	6	1.161417693083005	2.8860145487233977
Polen	5	5793	8	5	1.3845612443972146	2.8791141685994956
Frank-Walter	5	5793	8	5	1.3845612443972146	2.8791141685994956
Sprecher	5	5793	16	7	1.0278863004584822	2.849905964395959
stoßen	5	5793	16	7	1.0278863004584822	2.849905964395959
vorschlagen	5	5793	16	7	1.0278863004584822	2.849905964395959
bekämpfen	5	5793	27	10	0.8613131006326669	2.83874747023764
Syrer	5	5793	20	8	0.938274141768795	2.8108181279379516
Aufnahme	5	5793	54	17	0.698794171134892	2.7874788004891893
Aktionsplan	5	5793	9	5	1.266778208740831	2.7833962142793056
Europaparlament	5	5793	9	5	1.266778208740831	2.7833962142793056
Avramopoulos	5	5793	9	5	1.266778208740831	2.7833962142793056
einhalten	5	5793	9	5	1.266778208740831	2.7833962142793056
innerhalb	5	5793	21	8	0.889483977599363	2.7080539277967395
Serbien	5	5793	21	8	0.889483977599363	2.7080539277967395
fair	5	5793	21	8	0.889483977599363	2.7080539277967395
Plan	5	5793	44	14	0.7094325693399476	2.6846273748602276
Küstenwache	5	5793	10	5	1.161417693083005	2.674263066832461
Volker	5	5793	14	6	1.0072670132557464	2.658235394212247
Krise	5	5793	14	6	1.0072670132557464	2.658235394212247
solidarisch	5	5793	5	4	1.6314213223287404	2.6256713273092473
