token	label	f_x	f_y	f_xy	pmi	pmi_freq
Familiennachzug	3	3282	32	23	2.092520486218961	7.252123376432993
Integration	3	3282	67	25	1.4369453785667727	6.041913627727666
Sprachkurs	3	3282	15	12	2.199618621775328	5.956677651046844
anbieten	3	3282	21	10	1.6808248283601608	5.117308903825131
Sprache	3	3282	17	9	1.7867734063695415	5.0623102577309655
Integrationskurs	3	3282	11	8	2.1043084419710034	5.0459112655119736
Karte	3	3282	12	8	2.0172970649813737	5.0127948913700315
Kind	3	3282	32	12	1.441932920077812	4.997358690542521
Versorgung	3	3282	19	9	1.675547771259317	4.933548169151387
begrenzen	3	3282	29	11	1.4533616159014346	4.893898508687305
Klöckner	3	3282	11	7	1.970777049346481	4.725716970367448
Flüchtlingskind	3	3282	13	7	1.8037229646833146	4.6264580593030855
Bleibeperspektive	3	3282	15	7	1.6606221210426413	4.497048068844303
Existenzminimum	3	3282	8	6	2.135080100637757	4.439774256080116
Gesundheitskart	3	3282	8	6	2.135080100637757	4.439774256080116
medizinisch	3	3282	9	6	2.0172970649813737	4.4324546909652955
früh	3	3282	16	7	1.5960835999050702	4.425283388848668
Julia	3	3282	10	6	1.9119365493235474	4.402396597222876
Leistung	3	3282	11	6	1.8166263695192226	4.35607978391101
bieten	3	3282	23	8	1.3667094988402244	4.285309728468951
aussetzen	3	3282	19	7	1.4242333429784109	4.193568170494158
Deutschkurse	3	3282	14	6	1.5754643127023344	4.157740641984361
beschränken	3	3282	7	5	2.0862899364683254	4.059732761245679
Schulpflicht	3	3282	7	5	2.0862899364683254	4.059732761245679
Deutsch	3	3282	7	5	2.0862899364683254	4.059732761245679
bräuchn	3	3282	10	5	1.7296149925295927	3.9825856984176484
Leistungskürzung	3	3282	10	5	1.7296149925295927	3.9825856984176484
Wohlfahrtsverband	3	3282	10	5	1.7296149925295927	3.9825856984176484
kulturell	3	3282	11	5	1.634304812725268	3.9188917847455467
Nahles	3	3282	12	5	1.547293435735638	3.844879747632809
Opposition	3	3282	13	5	1.4672507280621017	3.7634238121778596
